,franchise_id,season,weighted_efficiency
187,CLE,2015,22.02757675
188,CLE,2016,24.9796875
189,CLE,2017,24.63487939
190,CLE,2018,24.50355159
191,CLE,2019,23.07393333
192,CLE,2020,24.96752604
193,DAL,1981,20.31044643
194,DAL,1982,22.94323718
195,DAL,1983,23.77969551
196,DAL,1984,23.67825321
197,DAL,1985,26.26952652
198,DAL,1986,26.42222756
199,DAL,1987,27.36327652
200,DAL,1988,26.7519697
201,DAL,1989,27.15034722
202,DAL,1990,25.54184295
203,DAL,1991,25.92860119
204,DAL,1992,21.99192402
205,DAL,1993,20.77873843
206,DAL,1994,21.1941088
207,DAL,1995,23.56979167
208,DAL,1996,23.12981944
209,DAL,1997,23.8815
210,DAL,1998,23.73234069
211,DAL,1999,23.86785256
212,DAL,2000,25.39933333
213,DAL,2001,23.47180147
214,DAL,2002,22.14716009
215,DAL,2003,22.29427778
216,DAL,2004,24.47807692
217,DAL,2005,26.12663462
218,DAL,2006,23.83789063
219,DAL,2007,22.07015278
220,DAL,2008,22.70539352
221,DAL,2009,22.11589844
222,DAL,2010,25.1004902
223,DAL,2011,23.27286765
224,DAL,2012,21.07372396
225,DAL,2013,22.09482639
226,DAL,2014,24.72080128
227,DAL,2015,22.74655093
228,DAL,2016,22.84272135
229,DAL,2017,20.95978261
230,DAL,2018,21.17867063
231,DAL,2019,23.52063542
232,DAL,2020,24.59070313
233,DEN,1977,23.12863095
234,DEN,1978,22.18158333
235,DEN,1979,23.97776042
236,DEN,1980,25.99679167
237,DEN,1981,22.69674479
238,DEN,1982,26.13875
239,DEN,1983,23.11485119
240,DEN,1984,22.0505506
241,DEN,1985,23.89717014
242,DEN,1986,23.81067708
243,DEN,1987,23.32703526
244,DEN,1988,22.84502976
245,DEN,1989,22.743125
246,DEN,1990,22.49875
247,DEN,1991,21.58385913
248,DEN,1992,20.15213889
249,DEN,1993,22.54386905
250,DEN,1994,19.41351563
251,DEN,1995,24.33732143
252,DEN,1996,22.81301389
253,DEN,1997,20.77961174
254,DEN,1998,23.3508724
255,DEN,1999,23.40044643
256,DEN,2000,21.69851716
257,DEN,2001,21.07943627
258,DEN,2002,23.0412996
259,DEN,2003,19.8624375
260,DEN,2004,20.37905556
261,DEN,2005,24.35175
262,DEN,2006,26.29248611
263,DEN,2007,26.07866898
264,DEN,2008,23.72970833
265,DEN,2009,26.9046875
266,DEN,2010,26.0636859
267,DEN,2011,25.89871711
268,DEN,2012,25.24648284
269,DEN,2013,24.2818006
270,DEN,2014,24.18360677
271,DEN,2015,22.2299537
272,DEN,2016,22.93164352
273,DEN,2017,23.95594363
274,DEN,2018,23.88621324
275,DEN,2019,26.13552885
276,DEN,2020,24.39722222
277,DET,1977,22.16793155
278,DET,1978,24.08150735
279,DET,1979,21.5816276
280,DET,1980,26.50454657
281,DET,1981,21.96869792
282,DET,1982,21.39763889
283,DET,1983,23.17408854
284,DET,1984,22.31559295
285,DET,1985,21.89009722
286,DET,1986,25.61174242
287,DET,1987,24.85276042
288,DET,1988,27.88310606
289,DET,1989,28.54647569
290,DET,1990,24.24789931
291,DET,1991,24.08307692
292,DET,1992,23.99864583
293,DET,1993,22.67897222
294,DET,1994,23.04477865
295,DET,1995,23.47248611
296,DET,1996,24.40650298
297,DET,1997,21.53919271
298,DET,1998,23.87597222
299,DET,1999,20.61601563
300,DET,2000,21.24868056
301,DET,2001,20.5925
302,DET,2002,21.75752778
303,DET,2003,22.04135417
304,DET,2004,21.31415365
305,DET,2005,19.50436275
306,DET,2006,19.9891299
307,DET,2007,24.58184524
308,DET,2008,20.28596065
309,DET,2009,27.63751603
310,DET,2010,24.70372024
311,DET,2011,24.84554487
312,DET,2012,21.6231994
313,DET,2013,24.17419271
314,DET,2014,22.17498512
315,DET,2015,21.459375
316,DET,2016,22.55153186
317,DET,2017,22.63799107
318,DET,2018,24.25552083
319,DET,2019,21.14605263
320,DET,2020,22.98914773
321,GSW,1977,22.40991071
322,GSW,1978,21.82035714
323,GSW,1979,23.266875
324,GSW,1980,22.33123512
325,GSW,1981,21.23282552
326,GSW,1982,23.73551282
327,GSW,1983,23.41566886
328,GSW,1984,20.82547222
329,GSW,1985,23.63370192
330,GSW,1986,24.15360577
331,GSW,1987,22.97345238
332,GSW,1988,23.11727183
333,GSW,1989,20.3209375
334,GSW,1990,22.00971354
335,GSW,1991,21.11676471
336,GSW,1992,22.26010417
337,GSW,1993,24.69799342
338,GSW,1994,21.97118056
339,GSW,1995,27.73982639
340,GSW,1996,24.64205556
341,GSW,1997,22.50622396
342,GSW,1998,20.87498106
343,GSW,1999,20.62895833
344,GSW,2000,21.20174819
345,GSW,2001,22.7703125
346,GSW,2002,20.36193056
347,GSW,2003,21.90375
348,GSW,2004,21.85845052
349,GSW,2005,22.59523284
350,GSW,2006,22.26452778
351,GSW,2007,23.94289583
352,GSW,2008,21.53825521
353,GSW,2009,26.26214461
354,GSW,2010,30.32020833
355,GSW,2011,21.48517157
356,GSW,2012,23.750625
357,GSW,2013,24.07578526
358,GSW,2014,23.52306944
359,GSW,2015,23.38950893
360,GSW,2016,23.27363889
361,GSW,2017,21.76452206
362,GSW,2018,24.40013021
363,GSW,2019,23.47230392
364,GSW,2020,24.86916667
365,HOU,1977,24.20274306
366,HOU,1978,20.72569444
367,HOU,1979,25.30902778
368,HOU,1980,25.21479167
369,HOU,1981,23.89703526
370,HOU,1982,23.16902244
371,HOU,1983,21.46994048
372,HOU,1984,22.68697115
373,HOU,1985,25.2825
374,HOU,1986,25.16262153
375,HOU,1987,23.760625
376,HOU,1988,23.25804167
377,HOU,1989,22.27122024
378,HOU,1990,22.10377778
379,HOU,1991,23.46879808
380,HOU,1992,24.21671474
381,HOU,1993,24.20645833
382,HOU,1994,25.94512821
383,HOU,1995,26.79002778
384,HOU,1996,24.61002451
385,HOU,1997,25.55876302
386,HOU,1998,24.66958333
387,HOU,1999,21.38369792
388,HOU,2000,23.33642157
389,HOU,2001,25.47908654
390,HOU,2002,25.21183036
391,HOU,2003,23.82952381
392,HOU,2004,22.10276389
393,HOU,2005,22.8814375
394,HOU,2006,22.60651316
395,HOU,2007,23.36290278
396,HOU,2008,21.93949074
397,HOU,2009,27.21438988
398,HOU,2010,22.58778935
399,HOU,2011,23.03323529
400,HOU,2012,21.48173611
401,HOU,2013,22.46207176
402,HOU,2014,24.57444853
403,HOU,2015,22.15752193
404,HOU,2016,22.65154412
405,HOU,2017,25.39088542
406,HOU,2018,22.91832341
407,HOU,2019,24.17395833
408,HOU,2020,23.39223958
409,IND,1977,20.43963542
410,IND,1978,24.33886719
411,IND,1979,24.08115385
412,IND,1980,23.31290179
413,IND,1981,21.96232143
414,IND,1982,22.57677885
415,IND,1983,22.64762821
416,IND,1984,21.97647321
417,IND,1985,21.08275
418,IND,1986,23.77364583
419,IND,1987,21.169
420,IND,1988,25.87263258
421,IND,1989,25.17048177
422,IND,1990,24.46283654
423,IND,1991,25.12946181
424,IND,1992,23.50154762
425,IND,1993,23.06152244
426,IND,1994,22.12378906
427,IND,1995,22.87752976
428,IND,1996,23.15068452
429,IND,1997,23.39819853
430,IND,1998,23.50668269
431,IND,1999,21.64686012
432,IND,2000,24.40157051
433,IND,2001,22.19360119
434,IND,2002,26.70693056
435,IND,2003,22.02229167
436,IND,2004,24.49528846
437,IND,2005,24.38480208
438,IND,2006,29.25482143
439,IND,2007,22.07203947
440,IND,2008,24.215125
441,IND,2009,25.38741071
442,IND,2010,23.58290278
443,IND,2011,23.03597222
444,IND,2012,21.460125
445,IND,2013,20.42227778
446,IND,2014,20.93854167
447,IND,2015,23.19882813
448,IND,2016,22.21166667
449,IND,2017,24.58110119
450,IND,2018,24.49056548
451,IND,2019,25.50590774
452,IND,2020,23.63164063
453,LAC,1977,22.0136152
454,LAC,1978,22.78584491
455,LAC,1979,21.57526786
456,LAC,1980,23.40020833
457,LAC,1981,21.45973214
458,LAC,1982,25.74379902
459,LAC,1983,22.31256127
460,LAC,1984,24.83741987
461,LAC,1985,24.09128205
462,LAC,1986,21.70210526
